Unnamed: 0,Date,Open,High,Low,Close,Volume
3642,2024-09-09 13:30:00,1143.05,1144.25,1142.7,1143.35,22500
3643,2024-09-09 13:45:00,1143.3,1146.15,1142.85,1145.9,46800
3644,2024-09-09 14:00:00,1145.8,1146.2,1141.3,1141.75,63000
3645,2024-09-09 14:15:00,1142.6,1143.1,1141.15,1141.15,45000
3646,2024-09-09 14:30:00,1141.55,1143.75,1140.55,1141.8,97200
3647,2024-09-09 14:45:00,1142.0,1143.35,1142.0,1142.5,60300
3648,2024-09-09 15:00:00,1142.2,1147.55,1141.3,1147.35,104400
3649,2024-09-09 15:15:00,1147.4,1148.4,1144.8,1147.55,99000
3650,2024-09-10 09:15:00,1151.3,1161.1,1148.3,1154.05,176400
3651,2024-09-10 09:30:00,1154.05,1158.65,1154.05,1156.1,49500
3652,2024-09-10 09:45:00,1155.55,1155.55,1150.95,1151.3,44100
3653,2024-09-10 10:00:00,1150.95,1155.6,1150.15,1154.2,48600
3654,2024-09-10 10:15:00,1154.95,1156.85,1152.0,1154.05,54900
3655,2024-09-10 10:30:00,1154.0,1154.55,1151.4,1152.25,43200
3656,2024-09-10 10:45:00,1152.55,1152.9,1150.0,1150.75,51300
3657,2024-09-10 11:00:00,1150.75,1153.05,1150.75,1152.65,23400
3658,2024-09-10 11:15:00,1153.2,1153.7,1151.2,1151.2,40500
3659,2024-09-10 11:30:00,1152.55,1153.5,1150.0,1151.15,33300
3660,2024-09-10 11:45:00,1151.45,1152.1,1150.5,1152.1,26100
3661,2024-09-10 12:00:00,1151.6,1153.1,1150.9,1150.95,32400
3662,2024-09-10 12:15:00,1150.75,1151.5,1149.6,1151.5,27000
3663,2024-09-10 12:30:00,1150.95,1154.05,1150.95,1153.95,45900
3664,2024-09-10 12:45:00,1153.9,1155.6,1151.4,1154.3,48600
3665,2024-09-10 13:00:00,1153.85,1156.35,1153.75,1155.9,45000
3666,2024-09-10 13:15:00,1156.0,1156.0,1152.0,1153.6,37800
3667,2024-09-10 13:30:00,1153.65,1154.6,1153.4,1153.95,26100
3668,2024-09-10 13:45:00,1153.55,1153.8,1150.5,1150.55,33300
3669,2024-09-10 14:00:00,1150.55,1150.55,1147.75,1148.7,52200
3670,2024-09-10 14:15:00,1149.3,1151.45,1149.15,1151.25,28800
3671,2024-09-10 14:30:00,1151.25,1153.45,1148.55,1152.4,30600
3672,2024-09-10 14:45:00,1152.25,1155.8,1151.5,1152.9,104400
3673,2024-09-10 15:00:00,1153.7,1154.05,1149.85,1153.75,100800
3674,2024-09-10 15:15:00,1153.7,1153.75,1151.05,1152.9,93600
3675,2024-09-11 09:15:00,1158.2,1164.9,1154.4,1160.35,180900
3676,2024-09-11 09:30:00,1160.85,1163.35,1159.3,1163.05,73800
3677,2024-09-11 09:45:00,1162.6,1162.6,1155.5,1156.1,69300
3678,2024-09-11 10:00:00,1156.1,1156.65,1154.65,1155.85,50400
3679,2024-09-11 10:15:00,1156.3,1160.05,1155.65,1158.8,43200
3680,2024-09-11 10:30:00,1159.75,1162.65,1159.75,1160.35,65700
3681,2024-09-11 10:45:00,1159.95,1163.15,1158.7,1162.5,60300
3682,2024-09-11 11:00:00,1162.4,1163.65,1159.25,1159.25,82800
3683,2024-09-11 11:15:00,1158.85,1164.25,1158.4,1164.25,57600
3684,2024-09-11 11:30:00,1164.1,1166.25,1163.4,1164.55,72000
3685,2024-09-11 11:45:00,1164.65,1164.65,1161.3,1161.3,45000
3686,2024-09-11 12:00:00,1161.7,1163.3,1160.9,1162.75,44100
3687,2024-09-11 12:15:00,1162.9,1164.35,1162.6,1163.5,24300
3688,2024-09-11 12:30:00,1162.9,1164.35,1162.6,1162.65,24300
3689,2024-09-11 12:45:00,1161.85,1163.75,1161.6,1161.6,22500
3690,2024-09-11 13:00:00,1161.9,1162.45,1160.7,1161.6,27900
3691,2024-09-11 13:15:00,1161.85,1162.05,1159.1,1159.9,33300
3692,2024-09-11 13:30:00,1159.6,1159.7,1156.95,1158.7,40500
3693,2024-09-11 13:45:00,1158.4,1160.2,1157.55,1157.55,42300
3694,2024-09-11 14:00:00,1157.55,1157.55,1153.55,1153.6,61200
3695,2024-09-11 14:15:00,1153.35,1156.65,1152.95,1156.05,48600
3696,2024-09-11 14:30:00,1155.35,1157.35,1154.75,1155.0,35100
3697,2024-09-11 14:45:00,1154.8,1154.9,1148.05,1149.15,95400
3698,2024-09-11 15:00:00,1149.7,1150.5,1146.35,1148.6,92700
3699,2024-09-11 15:15:00,1148.1,1151.55,1148.1,1151.15,58500
3700,2024-09-12 09:15:00,1158.15,1164.65,1154.95,1163.7,126000
3701,2024-09-12 09:30:00,1164.0,1172.5,1162.8,1167.45,225900
3702,2024-09-12 09:45:00,1167.5,1168.95,1165.05,1165.3,119700
3703,2024-09-12 10:00:00,1165.1,1167.75,1161.4,1161.4,82800
3704,2024-09-12 10:15:00,1162.55,1165.4,1162.55,1165.1,54900
3705,2024-09-12 10:30:00,1165.0,1166.15,1162.2,1163.35,36000
3706,2024-09-12 10:45:00,1163.4,1164.4,1161.15,1161.95,49500
3707,2024-09-12 11:00:00,1161.9,1161.9,1159.2,1159.2,32400
3708,2024-09-12 11:15:00,1160.15,1162.05,1158.7,1159.85,28800
3709,2024-09-12 11:30:00,1159.0,1162.25,1158.8,1161.3,36000
3710,2024-09-12 11:45:00,1161.7,1161.7,1158.75,1160.15,24300
3711,2024-09-12 12:00:00,1160.35,1160.8,1158.35,1160.05,27000
3712,2024-09-12 12:15:00,1161.75,1162.1,1160.65,1161.8,18000
3713,2024-09-12 12:30:00,1161.3,1162.3,1161.0,1161.45,33300
3714,2024-09-12 12:45:00,1161.35,1163.65,1160.45,1160.95,44100
3715,2024-09-12 13:00:00,1161.3,1161.3,1159.8,1160.05,20700
3716,2024-09-12 13:15:00,1159.7,1160.5,1158.55,1160.5,22500
3717,2024-09-12 13:30:00,1159.35,1159.7,1157.7,1158.15,30600
3718,2024-09-12 13:45:00,1157.75,1158.65,1156.1,1158.2,48600
3719,2024-09-12 14:00:00,1158.2,1162.3,1158.2,1160.35,49500
3720,2024-09-12 14:15:00,1160.15,1162.25,1159.95,1160.6,32400
3721,2024-09-12 14:30:00,1160.4,1161.55,1157.4,1158.75,53100
3722,2024-09-12 14:45:00,1158.6,1161.5,1158.6,1161.2,61200
3723,2024-09-12 15:00:00,1161.8,1162.5,1158.75,1159.9,86400
3724,2024-09-12 15:15:00,1160.5,1161.3,1159.2,1160.4,119700
3725,2024-09-13 09:15:00,1161.3,1161.3,1154.55,1157.65,78300
3726,2024-09-13 09:30:00,1157.6,1160.5,1156.5,1160.5,63000
3727,2024-09-13 09:45:00,1160.5,1160.5,1157.4,1159.0,18900
3728,2024-09-13 10:00:00,1158.7,1159.2,1155.45,1157.1,28800
3729,2024-09-13 10:15:00,1157.35,1159.05,1157.0,1158.3,29700
3730,2024-09-13 10:30:00,1158.7,1160.25,1158.25,1158.6,36900
3731,2024-09-13 10:45:00,1158.2,1158.65,1155.55,1155.55,31500
3732,2024-09-13 11:00:00,1155.85,1156.65,1155.6,1155.95,27000
3733,2024-09-13 11:15:00,1156.4,1156.5,1154.5,1155.15,31500
3734,2024-09-13 11:30:00,1155.65,1156.5,1153.15,1153.15,39600
3735,2024-09-13 11:45:00,1154.05,1157.35,1154.05,1155.6,27900
3736,2024-09-13 12:00:00,1156.25,1156.25,1153.55,1153.75,26100
3737,2024-09-13 12:15:00,1153.8,1154.45,1153.55,1154.35,27900
3738,2024-09-13 12:30:00,1154.35,1154.65,1150.9,1151.4,38700
3739,2024-09-13 12:45:00,1151.05,1152.0,1150.6,1151.1,28800
3740,2024-09-13 13:00:00,1150.8,1152.05,1150.5,1152.0,27000
3741,2024-09-13 13:15:00,1152.2,1152.2,1149.35,1150.95,28800
3742,2024-09-13 13:30:00,1150.95,1153.2,1150.65,1152.8,27900
3743,2024-09-13 13:45:00,1152.25,1160.2,1151.35,1158.15,224100
3744,2024-09-13 14:00:00,1158.0,1158.6,1157.35,1157.65,63900
3745,2024-09-13 14:15:00,1157.65,1158.0,1156.15,1157.65,52200
3746,2024-09-13 14:30:00,1157.65,1160.55,1157.4,1158.9,76500
3747,2024-09-13 14:45:00,1159.2,1159.85,1157.95,1158.75,63000
3748,2024-09-13 15:00:00,1157.6,1158.4,1156.35,1156.85,62100
3749,2024-09-13 15:15:00,1156.5,1157.15,1156.15,1156.65,46800
3750,2024-09-16 09:15:00,1162.55,1162.55,1153.8,1156.3,192600
3751,2024-09-16 09:30:00,1156.1,1156.1,1152.6,1155.25,120600
3752,2024-09-16 09:45:00,1154.45,1155.35,1152.8,1154.9,53100
3753,2024-09-16 10:00:00,1155.1,1155.1,1153.0,1154.35,29700
3754,2024-09-16 10:15:00,1153.8,1156.65,1153.8,1156.55,31500
3755,2024-09-16 10:30:00,1156.7,1156.7,1155.1,1155.65,32400
3756,2024-09-16 10:45:00,1155.7,1157.25,1155.15,1156.2,35100
3757,2024-09-16 11:00:00,1156.75,1156.85,1154.75,1155.65,38700
3758,2024-09-16 11:15:00,1155.0,1155.25,1153.8,1155.05,27900
3759,2024-09-16 11:30:00,1155.2,1158.2,1155.2,1157.5,58500
3760,2024-09-16 11:45:00,1156.95,1159.25,1156.75,1158.1,63900
3761,2024-09-16 12:00:00,1158.5,1159.0,1155.1,1155.8,59400
3762,2024-09-16 12:15:00,1155.7,1157.45,1155.3,1157.0,45900
3763,2024-09-16 12:30:00,1157.45,1158.75,1156.85,1157.15,35100
3764,2024-09-16 12:45:00,1157.2,1157.4,1155.45,1155.6,37800
3765,2024-09-16 13:00:00,1156.05,1156.9,1155.9,1156.5,16200
3766,2024-09-16 13:15:00,1155.9,1156.25,1154.3,1154.3,25200
3767,2024-09-16 13:30:00,1154.7,1155.5,1154.25,1155.1,24300
3768,2024-09-16 13:45:00,1155.15,1156.15,1154.55,1155.7,26100
3769,2024-09-16 14:00:00,1155.45,1156.55,1155.0,1155.6,25200
3770,2024-09-16 14:15:00,1155.85,1156.1,1153.0,1154.65,33300
3771,2024-09-16 14:30:00,1154.6,1154.6,1152.45,1152.75,56700
3772,2024-09-16 14:45:00,1152.95,1153.3,1151.8,1152.75,40500
3773,2024-09-16 15:00:00,1152.65,1154.05,1152.0,1152.55,63900
3774,2024-09-16 15:15:00,1153.2,1154.9,1152.65,1154.7,61200
3775,2024-09-17 09:15:00,1154.05,1156.1,1152.1,1154.05,49500
3776,2024-09-17 09:30:00,1154.15,1154.8,1150.95,1152.0,90000
3777,2024-09-17 09:45:00,1152.3,1152.3,1147.9,1149.9,81900
3778,2024-09-17 10:00:00,1149.3,1151.7,1148.5,1148.5,46800
3779,2024-09-17 10:15:00,1148.8,1150.45,1146.65,1149.55,54000
