,Date,Open,High,Low,Close,Volume
240,20250204  10:58:00,49689.0,49709.5,49674.5,49704.5,0
241,20250204  11:00:00,49705.0,49755.5,49690.0,49753.0,0
242,20250204  11:02:00,49752.0,49788.0,49742.0,49755.5,0
243,20250204  11:04:00,49757.0,49805.5,49742.0,49801.5,0
244,20250204  11:06:00,49804.5,49812.0,49766.0,49766.5,0
245,20250204  11:08:00,49766.5,49789.5,49764.5,49781.5,0
246,20250204  11:10:00,49781.5,49811.5,49760.0,49766.0,0
247,20250204  11:12:00,49765.5,49806.0,49756.5,49795.5,0
248,20250204  11:14:00,49799.5,49843.5,49793.0,49815.5,0
249,20250204  11:16:00,49812.5,49831.0,49788.5,49831.0,0
250,20250204  11:18:00,49830.5,49838.0,49810.0,49810.5,0
251,20250204  11:20:00,49815.0,49868.0,49811.0,49865.5,0
252,20250204  11:22:00,49874.0,49906.0,49832.0,49833.5,0
253,20250204  11:24:00,49845.5,49868.0,49823.5,49830.5,0
254,20250204  11:26:00,49834.5,49859.0,49823.5,49836.5,0
255,20250204  11:28:00,49836.0,49849.0,49816.5,49829.5,0
256,20250204  11:30:00,49825.0,49859.0,49821.5,49855.5,0
257,20250204  11:32:00,49859.5,49860.5,49821.0,49834.0,0
258,20250204  11:34:00,49836.5,49846.0,49809.0,49828.0,0
259,20250204  11:36:00,49828.5,49829.0,49804.0,49815.0,0
260,20250204  11:38:00,49820.5,49838.5,49814.0,49825.0,0
261,20250204  11:40:00,49825.5,49844.5,49806.0,49817.0,0
262,20250204  11:42:00,49818.5,49822.0,49784.5,49785.0,0
263,20250204  11:44:00,49789.0,49791.5,49767.5,49790.0,0
264,20250204  11:46:00,49792.0,49797.0,49784.5,49789.5,0
265,20250204  11:48:00,49792.0,49897.0,49783.0,49896.5,0
266,20250204  11:50:00,49895.0,49920.0,49846.5,49877.5,0
267,20250204  11:52:00,49883.5,49886.5,49798.0,49824.0,0
268,20250204  11:54:00,49821.0,49836.5,49816.5,49829.0,0
269,20250204  11:56:00,49833.0,49842.0,49798.0,49814.5,0
270,20250204  11:58:00,49813.5,49827.5,49806.0,49811.5,0
271,20250204  12:00:00,49813.0,49818.0,49768.5,49798.0,0
272,20250204  12:02:00,49796.5,49814.5,49790.5,49796.5,0
273,20250204  12:04:00,49797.0,49832.5,49790.5,49824.0,0
274,20250204  12:06:00,49824.0,49834.5,49793.5,49793.5,0
275,20250204  12:08:00,49791.5,49812.0,49774.5,49809.0,0
276,20250204  12:10:00,49809.0,49849.5,49809.0,49849.0,0
277,20250204  12:12:00,49847.5,49862.5,49831.5,49859.5,0
278,20250204  12:14:00,49855.5,49867.5,49844.5,49867.0,0
279,20250204  12:16:00,49871.0,49887.0,49841.5,49884.0,0
280,20250204  12:18:00,49878.0,49910.5,49868.0,49880.5,0
281,20250204  12:20:00,49876.5,49892.0,49857.5,49877.0,0
282,20250204  12:22:00,49879.0,49910.5,49866.0,49897.0,0
283,20250204  12:24:00,49898.5,49910.5,49880.0,49906.0,0
284,20250204  12:26:00,49904.0,49921.5,49888.0,49900.0,0
285,20250204  12:28:00,49898.5,49931.0,49895.5,49927.5,0
286,20250204  12:30:00,49924.5,49959.5,49913.0,49952.0,0
287,20250204  12:32:00,49951.5,50001.0,49951.0,49979.5,0
288,20250204  12:34:00,49979.0,49981.5,49957.0,49968.5,0
289,20250204  12:36:00,49970.5,49993.0,49965.5,49988.0,0
290,20250204  12:38:00,49986.5,50017.0,49957.0,49971.5,0
291,20250204  12:40:00,49968.0,49989.0,49944.0,49976.5,0
292,20250204  12:42:00,49974.5,50003.0,49962.5,49972.5,0
293,20250204  12:44:00,49973.0,49984.5,49961.0,49962.5,0
294,20250204  12:46:00,49968.5,49979.0,49952.5,49953.5,0
295,20250204  12:48:00,49954.5,49971.5,49944.5,49968.0,0
296,20250204  12:50:00,49963.5,49979.0,49950.0,49978.5,0
297,20250204  12:52:00,49978.0,50039.0,49974.0,50006.5,0
298,20250204  12:54:00,50004.0,50040.5,49997.5,50020.0,0
299,20250204  12:56:00,50024.5,50045.0,50009.5,50014.0,0
300,20250204  12:58:00,50005.5,50044.0,50003.5,50038.0,0
301,20250204  13:00:00,50043.5,50083.0,50037.0,50040.0,0
302,20250204  13:02:00,50042.0,50044.0,49993.5,50004.0,0
303,20250204  13:04:00,50004.5,50008.0,49955.0,49962.5,0
304,20250204  13:06:00,49959.5,50008.0,49924.0,49997.0,0
305,20250204  13:08:00,50000.5,50016.5,49987.0,50016.0,0
306,20250204  13:10:00,50015.5,50056.0,50008.0,50040.0,0
307,20250204  13:12:00,50039.5,50059.0,50025.0,50047.5,0
308,20250204  13:14:00,50049.5,50066.5,50034.0,50036.5,0
309,20250204  13:16:00,50038.5,50051.5,50019.0,50024.5,0
310,20250204  13:18:00,50024.5,50028.5,49988.5,50009.0,0
311,20250204  13:20:00,50013.0,50084.0,50009.5,50083.5,0
312,20250204  13:22:00,50080.0,50080.0,50023.0,50037.5,0
313,20250204  13:24:00,50038.5,50045.5,50010.5,50018.0,0
314,20250204  13:26:00,50017.0,50027.0,49993.5,50003.5,0
315,20250204  13:28:00,50001.0,50006.0,49981.5,50000.5,0
316,20250204  13:30:00,50004.0,50020.0,49994.0,50005.0,0
317,20250204  13:32:00,50003.0,50025.5,49997.0,50012.5,0
318,20250204  13:34:00,50009.5,50107.5,50000.5,50078.5,0
319,20250204  13:36:00,50076.0,50100.0,50044.5,50047.5,0
320,20250204  13:38:00,50050.5,50068.5,50043.0,50047.5,0
321,20250204  13:40:00,50048.5,50059.0,50007.5,50022.5,0
322,20250204  13:42:00,50024.0,50047.5,50006.5,50018.0,0
323,20250204  13:44:00,50021.0,50024.0,49974.5,50007.5,0
324,20250204  13:46:00,50009.0,50059.5,50003.0,50051.5,0
325,20250204  13:48:00,50055.5,50084.0,50046.0,50080.0,0
326,20250204  13:50:00,50084.5,50093.0,50048.5,50082.0,0
327,20250204  13:52:00,50086.0,50112.0,50077.0,50080.0,0
