,Date,Open,High,Low,Close,Volume
3001,20250224  15:16:00,22548.6,22563.05,22548.1,22556.1,0
3002,20250224  15:18:00,22556.05,22556.6,22548.35,22548.8,0
3003,20250224  15:20:00,22549.05,22550.25,22544.95,22548.6,0
3004,20250224  15:22:00,22548.4,22550.9,22546.35,22546.75,0
3005,20250224  15:24:00,22546.15,22553.25,22544.15,22550.9,0
3006,20250224  15:26:00,22551.05,22552.9,22547.05,22549.0,0
3007,20250224  15:28:00,22547.7,22555.65,22545.4,22549.75,0
3008,20250225  09:15:00,22529.8,22579.35,22529.8,22560.45,0
3009,20250225  09:16:00,22562.65,22563.6,22549.9,22560.3,0
3010,20250225  09:18:00,22561.45,22563.65,22545.5,22547.1,0
3011,20250225  09:20:00,22548.0,22552.75,22540.75,22541.55,0
3012,20250225  09:22:00,22542.05,22555.95,22541.05,22551.3,0
3013,20250225  09:24:00,22551.4,22564.95,22539.6,22541.35,0
3014,20250225  09:26:00,22540.75,22554.9,22532.15,22553.2,0
3015,20250225  09:28:00,22553.75,22566.2,22548.75,22552.75,0
3016,20250225  09:30:00,22554.25,22557.65,22546.25,22555.35,0
3017,20250225  09:32:00,22556.5,22576.35,22553.7,22573.2,0
3018,20250225  09:34:00,22573.7,22590.95,22570.55,22588.3,0
3019,20250225  09:36:00,22590.5,22600.4,22583.85,22599.0,0
3020,20250225  09:38:00,22600.45,22610.95,22598.6,22601.2,0
3021,20250225  09:40:00,22600.55,22608.25,22592.9,22594.7,0
3022,20250225  09:42:00,22594.8,22608.9,22594.8,22601.75,0
3023,20250225  09:44:00,22601.35,22612.7,22599.55,22606.2,0
3024,20250225  09:46:00,22606.0,22615.4,22595.2,22597.4,0
3025,20250225  09:48:00,22596.75,22625.2,22591.6,22621.9,0
3026,20250225  09:50:00,22621.35,22622.1,22613.6,22616.95,0
3027,20250225  09:52:00,22616.6,22619.25,22604.15,22608.3,0
3028,20250225  09:54:00,22608.55,22614.4,22604.65,22611.75,0
3029,20250225  09:56:00,22611.1,22612.25,22602.6,22604.75,0
3030,20250225  09:58:00,22604.6,22608.85,22594.95,22607.2,0
3031,20250225  10:00:00,22606.55,22608.4,22587.45,22590.9,0
3032,20250225  10:02:00,22590.85,22603.3,22588.7,22595.95,0
3033,20250225  10:04:00,22597.1,22598.2,22588.55,22595.05,0
3034,20250225  10:06:00,22595.3,22601.85,22588.95,22589.0,0
3035,20250225  10:08:00,22588.35,22595.05,22583.7,22585.15,0
3036,20250225  10:10:00,22585.85,22591.15,22582.2,22590.25,0
3037,20250225  10:12:00,22590.15,22603.55,22589.2,22598.15,0
3038,20250225  10:14:00,22597.95,22601.15,22594.8,22595.25,0
3039,20250225  10:16:00,22594.8,22595.45,22587.7,22588.55,0
3040,20250225  10:18:00,22588.7,22588.7,22569.5,22572.75,0
3041,20250225  10:20:00,22573.1,22579.5,22568.95,22571.7,0
3042,20250225  10:22:00,22572.3,22577.15,22567.4,22572.25,0
3043,20250225  10:24:00,22571.4,22574.1,22565.35,22571.0,0
3044,20250225  10:26:00,22573.35,22582.8,22571.7,22581.0,0
3045,20250225  10:28:00,22581.05,22582.2,22573.45,22576.15,0
3046,20250225  10:30:00,22577.3,22582.4,22575.2,22579.95,0
3047,20250225  10:32:00,22581.6,22584.05,22565.0,22569.05,0
